Smiles,pChEMBL Value
O=C1CCc2ccc(OCC3CCC(CN4CCN(c5cccc(Cl)c5Cl)CC4)CC3)cc2N1,4.34
COc1c(-c2nc(CNC[C@@H]3CCN(Cc4ccccc4)C3)co2)cc(Br)c2ccccc12,4.34
Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,4.34
CCOC(=O)c1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,4.35
N#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,4.35
Fc1ccc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)cn1,4.35
Cc1ccc(C2CCN(CC(=O)Nc3cccc(C)c3)CC2)cc1,4.35
COc1ccc(Br)cc1C1=NCC[C@H](CN2CCN(c3ccccc3)CC2)N1,4.36
N#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,4.36
COc1ccc(Br)cc1C1=NCC[C@H](CN2CCN(c3ccccc3)CC2)N1,4.37
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)cc2c1,4.37
COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)nn2)CC1,4.38
CCCOC1CCCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,4.38
CCN(CC)[C@@H]1[C@@H](CO)[C@H]2CN(Cc3ccccc3)[C@H](c3ccccn3)[C@H]21,4.38
O=C(c1ccccc1)N1CCN(CCN2CCc3ncsc3CC2)CC1,4.38
CCc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1,4.39
COc1ccc(N2CCN(CCCCCCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)cc1,4.4
COc1ccccc1N1CCN(Cc2c(C)nc3cc(C)ncn23)CC1,4.4
OCc1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,4.41
COc1ccccc1N1CC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)CC2)C1,4.42
COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,4.42
O=C(N[C@H]1CCN(Cc2ccccc2F)C1)c1ccc(-c2cccs2)cc1,4.42
Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,4.42
Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,4.42
CCN(CC)[C@@H]1[C@@H](CO)[C@H]2CN(Cc3ccccc3)[C@H](C)[C@H]21,4.42
CCOC(=O)c1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,4.43
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)cc2c1,4.44
COc1ccccc1N1CCC2(CCN(CCCSc3ncc(-c4ccccc4)n3C)CC2)CC1,4.45
N#Cc1ccc2[nH]cc(CN3CCN(c4ccccc4)CC3)c2c1,4.47
Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,4.48
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,4.5
Cc1cc(CN2CCC3(CC2)OC=C(c2ccccc2)C3=O)on1.Cl,4.5
c1ccc(C2=NCC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,4.5
Clc1ccc(N2CCN(Cc3cccc4ccnn34)CC2)cc1,4.51
Clc1ccc(N2CCN(Cc3cccc4ccnn34)CC2)cc1,4.51
COc1cccc(C2=NCCc3c2[nH]c2ccccc32)c1,4.51
CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,4.51
COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,4.52
FCCOc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,4.52
c1ccc(C2=NCC[C@@H](CN3CCN(c4ccccc4)CC3)N2)cc1,4.52
CCCN(C(C)C)[C@@H]1COc2cccc(C(C)=O)c2C1,4.52
Nc1nc2cc3c(cc2s1)CCN(CC(F)(F)F)CC3,4.52
COc1ccccc1N1CCC12CCN(CCCSc1nnc(-c3ccccc3)n1C)CC2,4.53
O=C(N[C@H]1CCN(Cc2ccc(Cl)c(Cl)c2)C1)c1ccc(-c2cccs2)cc1,4.54
c1ccc(C2=NCC[C@@H](CN3CCN(c4ccccc4)CC3)N2)cc1,4.54
Fc1ccc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)cn1,4.54
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccncc3)c3ccccc32)CC1,4.55
Cc1nn2c(-c3ccccc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,4.55
COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,4.55
Cc1ccc(CNCC2(F)CCN(C(=O)c3coc4ccccc34)CC2)nc1,4.55
c1ccc(CN2CCN(Cc3csc(-c4ccccc4)n3)CC2)cc1,4.55
OCc1ccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn2c1,4.55
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(F)cc4)CC3)cc2c1,4.55
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(F)cc4)CC3)cc2c1,4.55
O=C(NCCCCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc(-c2ccsc2)cc1,4.56
